股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,行业入口候选,龙头身份关系已核实候选,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
600540,新疆赛里木现代农业股份有限公司,2023,1.0,农业,行业分类候选,1,0,棉花及棉籽初加工,811843141.93,971635206.65,0.83554315,已按同一拆分维度处理；无法拆分时保持待核实,否,是,否,年报未单列直接种植收入，严格口径按可核实值为0；棉花、棉籽等农业初加工板块占83.55%，扩展口径达标。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219915469.PDF,25,129,已人工复核（第四批）,严格口径占比=0.0；扩展口径占比=0.83554315；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600598,黑龙江北大荒农业股份有限公司,2023,1.0,农业,行业分类候选,1,0,农业土地承包及农产品经营,3590194105.74,5044443383.2,0.71171264,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,土地承包及农产品经营直接服务农业生产，合计占71.17%，按A05直接相关业务计入严格口径。,,,,https://static.cninfo.com.cn/finalpage/2024-03-29/1219444566.PDF,14,88,已人工复核（第四批）,严格口径占比=0.71171264；扩展口径占比=0.71171264；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
600873,梅花生物科技集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,动物营养氨基酸,14539372320.25,27760612259.07,0.52374105,否（同一披露维度；不符合范围的业务未计入）,否,是,否,动物营养氨基酸作为饲料营养投入品，占52.37%，进入扩展样本；食品调味和人用医药产品未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-19/1219331307.PDF,20,85,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.52374105；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
600962,国投中鲁果汁股份有限公司,2023,,,龙头企业身份核实候选,0,1,浓缩果汁等初加工产品及饲料,1465319778.68,1486772095.82,0.98557121,否（同一披露维度；不符合范围的业务未计入）,否,是,否,浓缩果汁、香料、果糖及饲料按农产品初加工和农业投入品口径合计占98.56%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-03-30/1219469902.PDF,15,76,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.98557121；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
600975,湖南新五丰股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,畜牧业（生猪）,3754975937.03,5631944572.42,0.66672814,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,畜牧业收入占66.67%，达到严格门槛；加入饲料后扩展口径69.10%，批发零售未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-20/1219705303.PDF,24,177,已人工复核（第四批）,严格口径占比=0.66672814；扩展口径占比=0.69100114；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
603151,山东邦基科技股份有限公司,2023,,,龙头企业身份核实候选,0,1,猪饲料,1563704637.81,1646620919.75,0.94964458,否（同一披露维度；不符合范围的业务未计入）,否,是,否,猪配合料、浓缩料、预混料及其他饲料合计占94.96%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219879163.PDF,15,81,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.94964458；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
603336,宏辉果蔬股份有限公司,2023,,,龙头企业身份核实候选,0,1,水果、蔬菜分选包装及果蔬服务,911309501.72,1085793266.42,0.83930296,否（同一披露维度；不符合范围的业务未计入）,否,是,否,水果和蔬菜经产地预冷、分选、包装等初加工及服务收入占83.93%，进入扩展样本；食品、食用油和肉类贸易未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-12/1219581219.PDF,22,86|93,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.83930296；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
603363,福建傲农生物科技集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,饲料、兽药动保和生猪养殖,16025043100.0,19457641131.79,0.82358612,否（同一披露维度；不符合范围的业务未计入）,否,是,否,养殖占27.33%，未达严格门槛；饲料、兽药动保和养殖合计占82.36%，不依赖食品板块即可达到扩展门槛。,,,,https://static.cninfo.com.cn/finalpage/2024-04-30/1219925622.PDF,22,129,已人工复核（龙头独有剩余45家）,严格口径占比=0.27329088；扩展口径占比=0.82358612；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
603477,乐山巨星农牧股份有限公司,2023,3.0,畜牧业,行业分类候选,1,0,畜禽养殖,3946820977.02,4040713360.73,0.97676341,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,畜禽养殖收入占97.68%，达到严格门槛；皮革业务未计入。,,,,https://static.cninfo.com.cn/finalpage/2024-03-23/1219388580.PDF,19,86,已人工复核（第四批）,严格口径占比=0.97676341；扩展口径占比=0.97676341；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
603609,禾丰食品股份有限公司,2023,,,龙头企业身份核实候选,0,1,饲料和生猪,19046358016.27,35970261909.41,0.5295029,否（同一披露维度；不符合范围的业务未计入）,否,是,否,生猪收入占7.16%；仅饲料和生猪合计已占52.95%，不依赖肉禽板块的养殖加工拆分即可进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-03-30/1219462055.PDF,23,90|96,已人工复核（龙头独有剩余45家）,严格口径占比=0.07161339；扩展口径占比=0.5295029；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
603668,福建天马科技集团股份有限公司,2023,,,龙头企业身份核实候选,0,1,饲料、水产养殖和动保（扣除内部抵销）,6817982484.15,6997724943.38,0.97431416,是（饲料、养殖及食品间交易已按披露抵销）,否,是,否,养殖仅占3.92%；饲料、养殖及动保扣除内部交易后占97.43%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-04-27/1219880792.PDF,39,123,已人工复核（龙头独有剩余45家）,严格口径占比=0.03915785；扩展口径占比=0.97431416；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
605198,烟台北方安德利果汁股份有限公司,2023,,,龙头企业身份核实候选,0,1,浓缩果汁、香精和果渣初加工,868537450.63,876104953.71,0.99136233,否（同一披露维度；不符合范围的业务未计入）,否,是,否,浓缩果汁、香精和果渣等农产品初加工收入占99.14%，进入扩展样本。,,,,https://static.cninfo.com.cn/finalpage/2024-03-07/1219251760.PDF,13,69,已人工复核（龙头独有剩余45家）,严格口径占比=0.0；扩展口径占比=0.99136233；详见2023龙头企业独有候选_年报复核剩余45家_v1.csv
605296,云南神农农业产业集团股份有限公司,2023,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,1,1,畜牧养殖,2094682094.43,3891278625.2,0.53830175,已按同一拆分维度处理；无法拆分时保持待核实,是,是,否,畜牧养殖收入占53.83%，达到严格门槛；加入饲料后扩展口径66.64%，为避免内部交易重叠未叠加屠宰收入。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219837411.PDF,29,154,已人工复核（第四批）,严格口径占比=0.53830175；扩展口径占比=0.66638065；两套分子详见2023年报主营业务人工复核_第四批13家_v1.csv
